name,country,qty_flights,mean_flights
AKITA,JAPAN,107,61.3077
AKJOUJT,MAURITANIA,40,81.9231
AKLAVIK,CANADA,94,74.0068
AKOBO,SUDAN,79,71.5357
"AKRON FULTON INTL","UNITED STATES",13,76.4391
AKTAU,KAZAKHSTAN,237,67.7500
"AKTION AB",GREECE,53,86.9730
AKTYUBINSK,KAZAKHSTAN,93,67.7500
AKULIVIK,CANADA,93,74.0068
AKURE,NIGERIA,67,65.6429
AKUREYRI,ICELAND,40,79.7143
"AL AHSA","SAUDI ARABIA",53,77.2121
"AL ALAMAIN INTL",EGYPT,39,80.6842
"AL BAHA","SAUDI ARABIA",93,77.2121
"AL DHAFRA","UNITED ARAB EMIRATES",67,63.7778
"AL JOUF","SAUDI ARABIA",106,77.2121
"ALAMOGORDO-WHITE SANDS REGL","UNITED STATES",159,76.4391
ALAVUS,FINLAND,53,76.8909
"ALBANO MACHADO",ANGOLA,79,83.7143
"ALBANY INTL","UNITED STATES",121,76.4391
AL-BAYDA,YEMEN,26,74.3333
ALBENGA,ITALY,53,76.5375
"ALBERNI VALLEY REGIONAL",CANADA,54,74.0068
"ALBERTO DELGADO",CUBA,92,67.4375
"ALBERTO LIERAS CAMARGO",COLOMBIA,133,88.6667
ALBERTUS,"UNITED STATES",133,76.4391
ALBERTVILLE,FRANCE,41,76.2206
"ALBION MUN","UNITED STATES",279,76.4391
AL-BOUGH,YEMEN,134,74.3333
"ALBUQUERQUE INTL SUNPORT","UNITED STATES",54,76.4391
ALDERGROVE,"UNITED KINGDOM",53,83.8865
ALDERNEY,"UNITED KINGDOM",92,83.8865
ALEGRETE,BRAZIL,67,75.7333
"ALEJANDRO VELAZCO ASTETE",PERU,121,72.1833
ALEKSANDROWICE,POLAND,66,80.0476
"ALEPPO INTL",SYRIA,67,113.2500
"ALERT BAY",CANADA,79,74.0068
ALERT,CANADA,67,74.0068
ALESSANDRIA,ITALY,27,76.5375
"ALEXANDER FLD SOUTH WOOD CO","UNITED STATES",40,76.4391
ALEXANDER,ICELAND,40,79.7143
ALEXANDRA,"NEW ZEALAND",40,52.5333
"ALEXANDRIA ARMY",GREECE,92,86.9730
"ALEXANDRIA ESLER REGL","UNITED STATES",41,76.4391
"ALEXANDRIA INTL",EGYPT,53,80.6842
"ALEXANDRIA INTL","UNITED STATES",26,76.4391
ALEXANDRIA,CANADA,159,74.0068
"ALEXIS LAKE",CANADA,66,74.0068
"ALFEREZ DAVID FIGUEROA FERNAN*",PERU,119,72.1833
"ALFONSO BONILLA ARAGON INTL",COLOMBIA,106,88.6667
"ALFREDO VASQUEZ COBO",COLOMBIA,80,88.6667
"ALFREDO VLADIMIR SARA BAVER",PERU,53,72.1833
"ALGONA MUN","UNITED STATES",120,76.4391
ALICANTE,SPAIN,40,83.8966
"ALICE INTL","UNITED STATES",39,76.4391
ALINDAO,"CENTRAL AFRICAN REP",132,104.2222
ALINGSAS,SWEDEN,39,74.0865
ALKANTPAN,"SOUTH AFRICAN REP",53,80.1429
ALLAIRE,"UNITED STATES",41,76.4391
"ALLAMA IQBAL INTL",PAKISTAN,14,53.9500
"ALLEN AAF","UNITED STATES",53,76.4391
"ALLENDORF/ EDER",GERMANY,40,76.3204
ALLEROD,DENMARK,40,86.3667
"ALLIANCE MUN","UNITED STATES",52,76.4391
ALMA,CANADA,106,74.0068
AL-MASSIRA,MOROCCO,40,65.8000
"ALMAZA AB",EGYPT,80,80.6842
ALMEIRIM,BRAZIL,80,75.7333
ALMERIA,SPAIN,132,83.8966
"ALMIRANTE PADILLA",COLOMBIA,79,88.6667
"ALMIROS AB",GREECE,27,86.9730
"ALPENA CO REGL","UNITED STATES",40,76.4391
ALPHONSE,SEYCHELLES,80,70.6667
"ALPINE AIRSTRIP","UNITED STATES",13,76.4391
"ALTA FLORESTA",BRAZIL,40,75.7333
ALTA,NORWAY,66,77.7021
ALTAI,MONGOLIA,40,63.2727
ALTAMIRA,BRAZIL,27,75.7333
ALTDORF-WALLBURG,GERMANY,67,76.3204
"ALTENSTADT ARMY",GERMANY,80,76.3204
"ALTO GARCAS",BRAZIL,66,75.7333
"ALTO PARAISO",BRAZIL,67,75.7333
"ALTO PARNAIBA",BRAZIL,79,75.7333
"ALTURAS MUN","UNITED STATES",107,76.4391
"ALTUS AFB","UNITED STATES",147,76.4391
"ALTUS/ QUARTZ MOUNTAIN REGL","UNITED STATES",39,76.4391
"ALULA ABA NEGA",ETHIOPIA,39,82.3103
"ALVA REGL","UNITED STATES",106,76.4391
"ALVERCA AB",PORTUGAL,201,69.0476
ALYKEL,RUSSIA,133,74.4237
"ALZATE BRIANZA",ITALY,40,76.5375
AMAKUSA,JAPAN,106,61.3077
AMAMI,JAPAN,78,61.3077
AMAPA,BRAZIL,40,75.7333
AMARAIS,BRAZIL,147,75.7333
"AMARILLO INTL","UNITED STATES",81,76.4391
AMBALABE,MADAGASCAR,39,76.8857
AMBALAVAO,MADAGASCAR,40,76.8857
AMBATONDRAZAKA,MADAGASCAR,53,76.8857
"AMBERIEU AB",FRANCE,27,76.2206
AMBLER,"UNITED STATES",39,76.4391
AMBOULI,DJIBOUTI,212,106.0000
AMBRI,SWITZERLAND,93,83.4762
"AMEDEE AAF","UNITED STATES",80,76.4391
"AMENDOLA MIL",ITALY,66,76.5375
"AMERY MUN","UNITED STATES",40,76.4391
"AMES MUN","UNITED STATES",66,76.4391
AMHEARST,CANADA,26,74.0068
"AMILCAR CABRAL","CAPE VERDE",26,57.8333
"AMOS MUN",CANADA,40,74.0068
AMPANIHY,MADAGASCAR,53,76.8857
AMPAPAMENA,MADAGASCAR,40,76.8857
AMPFING-WALDKRAIBURG,GERMANY,53,76.3204
AMPURIABRAVA,SPAIN,67,83.8966
AM-TIMAN,CHAD,54,74.0714
"ANAKTUVUK PASS","UNITED STATES",145,76.4391
ANALALAVA,MADAGASCAR,79,76.8857
"ANAPOLIS AIR BASE",BRAZIL,67,75.7333
ANCENIS,FRANCE,93,76.2206
ANCONE,FRANCE,39,76.2206
ANDAHUAYLAS,PERU,52,72.1833
ANDAPA,MADAGASCAR,26,76.8857
"ANDERSON MUN-DARLINGTON","UNITED STATES",40,76.4391
ANDERSTORP,SWEDEN,80,74.0865
ANDIRA,BRAZIL,79,75.7333
"ANDOYA AB",NORWAY,67,77.7021
ANDRADINA,BRAZIL,133,75.7333
"ANDRAVIDA AB",GREECE,39,86.9730
ANDREW,CANADA,132,74.0068
"ANDREWS AFB/ NAF","UNITED STATES",67,76.4391
ANDREWSFIELD,"UNITED KINGDOM",145,83.8865
ANDREWS-MURPHY,"UNITED STATES",79,76.4391
"ANDROS TOWN INTL",BAHAMAS,107,95.0769
ANFA,MOROCCO,53,65.8000
"ANGEL FIRE","UNITED STATES",54,76.4391
"ANGEL S ADAMI INTL",URUGUAY,106,94.0833
"ANGELINA CO","UNITED STATES",54,76.4391
"ANGLING LAKE",CANADA,40,74.0068
ANGOCHE,MOZAMBIQUE,67,50.1429
"ANGRA DOS REIS",BRAZIL,28,75.7333
ANKAVANDRA,MADAGASCAR,145,76.8857
ANKAZOABO,MADAGASCAR,52,76.8857
"ANKENY REGL","UNITED STATES",79,76.4391
"ANN ARBOR MUN","UNITED STATES",107,76.4391
ANNEMASSE,FRANCE,39,76.2206
"ANOKA CO-BLAINE","UNITED STATES",105,76.4391
"ANSBACH AHP",GERMANY,39,76.3204
"ANSON CO","UNITED STATES",40,76.4391
ANSONGO,MALI,171,105.2667
"ANSPACH/ TAUNUS",GERMANY,132,76.3204
ANTICHAN,FRANCE,39,76.2206
"ANTOINE DE SAINT EXUPERY",ARGENTINA,67,67.1549
"ANTONIO MACEO INTL",CUBA,80,67.4375
"ANTONIO RIVERA RODRIGUEZ","PUERTO RICO",40,37.2000
ANTSALOVA,MADAGASCAR,146,76.8857
ANTSIRABATO,MADAGASCAR,66,76.8857
ANTSOA,MADAGASCAR,41,76.8857
AOSTA,ITALY,107,76.5375
"APALACHICOLA MUN","UNITED STATES",27,76.4391
APOLO,BOLIVIA,53,62.9474
APOTERI,GUYANA,67,58.0000
"APPLE RIVER",CANADA,93,74.0068
"APPLE VALLEY","UNITED STATES",106,76.4391
"APPLETON MUN","UNITED STATES",145,76.4391
"APT ESTADUAL ARTHUR SIQUEIRA",BRAZIL,82,75.7333
APUCARANA,BRAZIL,66,75.7333
ARACUAI,BRAZIL,197,75.7333
ARAGARCAS,BRAZIL,53,75.7333
ARAGUAIANA,BRAZIL,93,75.7333
ARAGUAINA,BRAZIL,145,75.7333
ARAGUARI,BRAZIL,27,75.7333
ARAK,IRAN,80,80.8400
ARANDIS,NAMIBIA,92,81.5000
"ARANSAS CO","UNITED STATES",39,76.4391
ARAPONGAS,BRAZIL,134,75.7333
ARAPOTI,BRAZIL,40,75.7333
ARAR,"SAUDI ARABIA",79,77.2121
ARARACUARA,COLOMBIA,92,88.6667
ARARAQUARA,BRAZIL,28,75.7333
ARARAS,BRAZIL,26,75.7333
ARAXA,BRAZIL,173,75.7333
"ARAXOS AB",GREECE,52,86.9730
"ARBA MINCH",ETHIOPIA,41,82.3103
ARBENT,FRANCE,54,76.2206
ARBOIS,FRANCE,67,76.2206
ARBRA,SWEDEN,132,74.0865
ARCATA,"UNITED STATES",26,76.4391
ARCHERFIELD,AUSTRALIA,80,54.9680
ARCOVERDE,BRAZIL,40,75.7333
"AREA DE MATERIAL",ARGENTINA,107,67.1549
ARENS,"UNITED STATES",93,76.4391
AREZZO,ITALY,132,76.5375
ARGENTAN,FRANCE,53,76.2206
ARIBINDA,"BURKINA FASO",41,73.3571
ARISTOTELIS,GREECE,66,86.9730
"ARLINGTON MUN","UNITED STATES",40,76.4391
"ARLINGTON MUN","UNITED STATES",107,76.4391
ARLY,"BURKINA FASO",27,73.3571
ARMOR,FRANCE,302,76.2206
"ARMSTRONG NEW ORLEANS INTL","UNITED STATES",40,76.4391
ARMSTRONG,"UNITED STATES",79,76.4391
ARNAGE,FRANCE,40,76.2206
ARNBRUCK,GERMANY,79,76.3204
"ARNOLD PALMER REGL","UNITED STATES",39,76.4391
ARO,NORWAY,67,77.7021
ARRACHART,MADAGASCAR,267,76.8857
"ARROIO GRANDE",BRAZIL,40,75.7333
"ARTESIA MUN","UNITED STATES",214,76.4391
"ARTHUR'S TOWN",BAHAMAS,225,95.0769
"ARTIGAS INTL",URUGUAY,27,94.0833
ARTIGUES-DE-LUSSAC,FRANCE,54,76.2206
"ARTURO MERINO BENITEZ INTL",CHILE,53,77.2857
"ARTURO MICHELENA INTL",VENEZUELA,54,76.5405
ARUSHA,TANZANIA,78,70.7027
ARVIDSJAUR,SWEDEN,79,74.0865
ARVIKA,SWEDEN,106,74.0865
ASAHIKAWA,JAPAN,53,61.3077
"ASCENSION AUX AB",ASCENSION,39,39.0000
ASCHERSLEBEN,GERMANY,79,76.3204
ASELE,SWEDEN,145,74.0865
ASHBURTON,"NEW ZEALAND",39,52.5333
"ASHE CO","UNITED STATES",40,76.4391
"ASHEBORO MUN","UNITED STATES",41,76.4391
ASHERN,CANADA,94,74.0068
"ASHEVILLE REGL","UNITED STATES",80,76.4391
"ASHLEY MUN","UNITED STATES",67,76.4391
ASIAGO,ITALY,54,76.5375
ASOSA,ETHIOPIA,53,82.3103
"ASPEN-PITKIN CO/ SARDY","UNITED STATES",147,76.4391
"ASSAB INTL",ERITREA,119,80.0000
ASSUMPTION,SEYCHELLES,80,70.6667
"ASTORIA REGL","UNITED STATES",40,76.4391
"ASWAN INTL",EGYPT,54,80.6842
"ASYUT INTL",EGYPT,40,80.6842
ATAQ,YEMEN,40,74.3333
ATAR,MAURITANIA,81,81.9231
ATATURK,TURKEY,53,75.3191
ATBARA,SUDAN,65,71.5357
ATHABASCA,CANADA,66,74.0068
ATI,CHAD,40,74.0714
ATICO,PERU,66,72.1833
"ATIKOKAN MUN",CANADA,67,74.0068
ATKA,"UNITED STATES",13,76.4391
"ATKINSON MUN","UNITED STATES",106,76.4391
"ATLANTIC CITY INTL","UNITED STATES",67,76.4391
"ATLANTIC MUN","UNITED STATES",187,76.4391
"ATLAS AIRFIELD",GERMANY,93,76.3204
ATLIN,CANADA,53,74.0068
"ATOKA MUN","UNITED STATES",118,76.4391
ATSINANANA,MADAGASCAR,133,76.8857
"ATSUGI AERO",JAPAN,53,61.3077
ATTENDORN-FINNENTROP,GERMANY,40,76.3204
ATTERHEIDE,GERMANY,39,76.3204
ATTOPEU,LAOS,27,72.3333
ATUONA,"FRENCH PACIFIC OVERSEAS TERR.",67,76.0455
"ATWOOD/ COGHLIN",CANADA,53,74.0068
"ATWOOD-RAWLINS CO CITY-CO","UNITED STATES",53,76.4391
ATYRAU,KAZAKHSTAN,13,67.7500
AUBENASSON,FRANCE,41,76.2206
"AUBURN MUN","UNITED STATES",145,76.4391
"AUBURN-LEWISTON MUN","UNITED STATES",107,76.4391
AUBURN-OPELIKA-PITTS,"UNITED STATES",53,76.4391
AUERBACH,GERMANY,120,76.3204
"AUF DEM DUMPEL",GERMANY,54,76.3204
AUGSBURG,GERMANY,79,76.3204
"AUGUSTA REGL AT BUSH","UNITED STATES",133,76.4391
"AUGUSTA STATE","UNITED STATES",27,76.4391
"AUGUSTO ROBERTO FUSTER",PARAGUAY,53,59.2222
AURANGABAD,INDIA,66,63.8654
AURILLAC,FRANCE,14,76.2206
"AURORA MUN","UNITED STATES",26,76.4391
"AUSTIN BERGSTROM INTL","UNITED STATES",26,76.4391
"AUSTIN MUN","UNITED STATES",106,76.4391
"AUSTIN STRAUBEL INTL","UNITED STATES",40,76.4391
AUSTIN,CANADA,26,74.0068
"AVA MARTIN MEML","UNITED STATES",79,76.4391
AVALLON,FRANCE,39,76.2206
AVALON,AUSTRALIA,146,54.9680
AVARATRA,MADAGASCAR,39,76.8857
AVARUA,"COOK IS",65,109.5000
AVENGER,"UNITED STATES",14,76.4391
AVESTA,SWEDEN,172,74.0865
"AVIADOR CARLOS CAMPOS (NEUQUEN",ARGENTINA,39,67.1549
"AVIANO MIL",ITALY,66,76.5375
"AVON PARK MUN","UNITED STATES",39,76.4391
"AVORD AB",FRANCE,53,76.2206
AVY,FRANCE,79,76.2206
AWASA,ETHIOPIA,118,82.3103
AXUM,ETHIOPIA,198,82.3103
"AYERS ROCK (CONNELLAN)",AUSTRALIA,40,54.9680
AZEZO,ETHIOPIA,67,82.3103
BABIMOST,POLAND,67,80.0476
BACAU,ROMANIA,66,71.6667
BACKNANG-HEININGEN,GERMANY,67,76.3204
BACOLOD,PHILIPPINES,132,60.6316
"BACON CO","UNITED STATES",93,76.4391
"BAD DITZENBACH",GERMANY,53,76.3204
"BAD ESSEN",GERMANY,66,76.3204
"BAD FRANKENHAUSEN",GERMANY,93,76.3204
"BAD LANGENSALZA",GERMANY,40,76.3204
"BAD NEUENAHR-AHRWEILER",GERMANY,41,76.3204
"BAD PYRMONT",GERMANY,40,76.3204
"BAD SASSENDORF",GERMANY,104,76.3204
"BAD SOBERNHEIM-DOMBERG",GERMANY,40,76.3204
"BAD WINDSHEIM",GERMANY,66,76.3204
"BAD WORISHOFEN-NORD",GERMANY,53,76.3204
"BADR AB",IRAN,27,80.8400
BAFIA,CAMEROON,40,86.2000
BAFOULABE,MALI,26,105.2667
BAFOUSSAM,CAMEROON,53,86.2000
BAGABAG,PHILIPPINES,27,60.6316
BAGAN,MYANMAR,79,65.2727
"BAGHDOGRA AB",INDIA,39,63.8654
BAGLUNG,NEPAL,93,54.7647
"BAGNERES DE LUCHON",FRANCE,40,76.2206
BAGOTVILLE,CANADA,93,74.0068
BAHAWALPUR,PAKISTAN,26,53.9500
"BAHRAIN INTL",BAHRAIN,27,27.0000
"BAILLEAU ARMENONVILLE",FRANCE,161,76.2206
BAILLIF,GUADELOUPE,39,52.6667
"BAIXO GUANDU",BRAZIL,92,75.7333
BAIYUN,CHINA,40,59.0556
BAJHANG,NEPAL,53,54.7647
BAJURA,NEPAL,52,54.7647
"BAKER CITY MUN","UNITED STATES",40,76.4391
"BAKER LAKE",CANADA,212,74.0068
"BAKER MEML","UNITED STATES",120,76.4391
"BAKER MUN","UNITED STATES",41,76.4391
BALANDINO,RUSSIA,172,74.4237
BALATON,HUNGARY,67,43.2500
"BALDWIN CO","UNITED STATES",185,76.4391
BALEN-KEIHEUVEL,BELGIUM,53,83.4762
BALESTAS,FRANCE,40,76.2206
"BALGO HILL",AUSTRALIA,40,54.9680
"BALICE JP II INTL",POLAND,94,80.0476
"BALIKESIR AB",TURKEY,79,75.3191
BALKHASH,KAZAKHSTAN,26,67.7500
BALLERA,AUSTRALIA,66,54.9680
BALMACEDA,CHILE,52,77.2857
BALRANALD,AUSTRALIA,39,54.9680
BALSAS,BRAZIL,147,75.7333
BALTRUM,GERMANY,26,76.3204
"BAMBERG AAF",GERMANY,54,76.3204
BAMBILI-DINGILA,CONGO,54,81.3408
BAMENDA,CAMEROON,53,86.2000
BAMYAN,AFGHANISTAN,146,81.5000
"BAN HOUEISAY",LAOS,39,72.3333
"BANDAR ABBASS INTL",IRAN,94,80.8400
"BANDAR LENGEH",IRAN,118,80.8400
BANDEIRANTES,BRAZIL,66,75.7333
BANDIAGARA,MALI,105,105.2667
BANEASA,ROMANIA,173,71.6667
BANFORA,"BURKINA FASO",147,73.3571
"BANG PRA",THAILAND,54,67.6429
"BANGKOK INTL",THAILAND,186,67.6429
"BANGOKA INTL",CONGO,173,81.3408
"BANGOR INTL","UNITED STATES",26,76.4391
"BANGOY INTL",PHILIPPINES,52,60.6316
BANGULA,MALAWI,119,93.6364
"BANJA LUKA","BOSNIA AND HERZEGOVINA",54,70.0000
BANKSTOWN,AUSTRALIA,80,54.9680
"BANNING MUN","UNITED STATES",80,76.4391
BANTRY,IRELAND,40,80.4737
BANYO,CAMEROON,132,86.2000
BAOAN,CHINA,13,59.0556
"BAR RIVER",CANADA,67,74.0068
"BARABOO WISCONSIN DELLS","UNITED STATES",52,76.4391
BARALANDE,"GUINEA REP",53,63.0000
BARBACENA,BRAZIL,67,75.7333
BARBE,MALI,39,105.2667
BARCALDINE,AUSTRALIA,66,54.9680
"BARDUFOSS AB",NORWAY,39,77.7021
"BAREILLY AB",INDIA,40,63.8654
BARINAS,VENEZUELA,39,76.5405
BARIRI,BRAZIL,80,75.7333
BARKARBY,SWEDEN,105,74.0865
BARKER,CANADA,41,74.0068
BARKERVILLE,CANADA,40,74.0068
"BARKING SANDS PMRF","UNITED STATES",14,76.4391
"BARKLEY REGL","UNITED STATES",80,76.4391
"BARKSTON HEATH AB","UNITED KINGDOM",67,83.8865
BARNAUL,RUSSIA,66,74.4237
"BARNES MUN","UNITED STATES",52,76.4391
"BARNSTABLE MUN-BOARDMAN/ POLAN","UNITED STATES",40,76.4391
BARQUISIMETO,VENEZUELA,53,76.5405
"BARRA DEL COLORADO","COSTA RICA",67,80.3913
"BARRA DO CORDA",BRAZIL,92,75.7333
"BARRACAO QUEIMADO",BRAZIL,67,75.7333
BARREIRAS,BRAZIL,146,75.7333
BARREIRINHA,BRAZIL,66,75.7333
BARRHEAD,CANADA,40,74.0068
"BARRIE AIRPARK",CANADA,66,74.0068
BARRON,"UNITED STATES",66,76.4391
"BARROW I",AUSTRALIA,53,54.9680
BARSSEL,GERMANY,41,76.3204
BARSTOW-DAGGETT,"UNITED STATES",108,76.4391
BAR-SUR-SEINE,FRANCE,213,76.2206
"BARTER I LRRS","UNITED STATES",160,76.4391
BARTH,GERMANY,93,76.3204
"BARTLESVILLE MUN","UNITED STATES",13,76.4391
"BARTOLOMEU LISANDRO",BRAZIL,106,75.7333
BARTON,"UNITED KINGDOM",93,83.8865
"BARTOW MUN","UNITED STATES",67,76.4391
BARUUN-URT,MONGOLIA,67,63.2727
BASANKUSU,CONGO,53,81.3408
BASCO,PHILIPPINES,27,60.6316
"BASE AEREA DE SANTOS",BRAZIL,79,75.7333
"BASE MARAMBIO","ANTARCTICA (ARG)",13,59.0000
BASENGELE,CONGO,13,81.3408
BASHAW,CANADA,27,74.0068
BASLE-MULHOUSE,FRANCE,53,76.2206
"BASRAH INTL",IRAQ,40,46.0000
BASSANO,CANADA,66,74.0068
"BASSEL AL-ASSAD INTL",SYRIA,200,113.2500
BASSILLAC,FRANCE,40,76.2206
BATA,"EQUATORIAL GUINEA",93,93.0000
"BATESVILLE REGL","UNITED STATES",93,76.4391
"BATHURST I",AUSTRALIA,40,54.9680
BATHURST,CANADA,106,74.0068
BATOURI,CAMEROON,132,86.2000
BATSFJORD,NORWAY,66,77.7021
BATTAMBANG,CAMBODIA,26,89.5000
"BATTICALOA AB","SRI LANKA",66,62.7500
"BATTLE MOUNTAIN","UNITED STATES",65,76.4391
BATWA,CONGO,27,81.3408
BAU,CONGO,106,81.3408
BAURU,BRAZIL,14,75.7333
BAUTZEN,GERMANY,119,76.3204
"BAXLEY MUN","UNITED STATES",13,76.4391
"BAXTER CO REGL","UNITED STATES",107,76.4391
BAYANKHONGOR,MONGOLIA,39,63.2727
BAYONNE-ANGLET,FRANCE,79,76.2206
BAYREUTH,GERMANY,134,76.3204
BAYTOWN,"UNITED STATES",80,76.4391
BEACH,"UNITED STATES",120,76.4391
"BEALE AFB","UNITED STATES",40,76.4391
"BEATRICE MUN","UNITED STATES",66,76.4391
BEATTY,"UNITED STATES",80,76.4391
"BEAUFORT MCAS","UNITED STATES",54,76.4391
BEAUMONT,FRANCE,40,76.2206
"BEAUVECHAIN AB",BELGIUM,108,83.4762
"BEAVER CO","UNITED STATES",94,76.4391
"BEAVER CREEK",CANADA,106,74.0068
"BEAVER I","UNITED STATES",40,76.4391
BEAVERLEY,CANADA,106,74.0068
BEBEDOURO,BRAZIL,105,75.7333
"BEDA M3",LIBYA,93,82.3000
"BEDFORD CO","UNITED STATES",132,76.4391
BEDOURIE,AUSTRALIA,39,54.9680
"BEECH FACTORY","UNITED STATES",79,76.4391
BEGISHEVO,RUSSIA,26,74.4237
BEHALA,INDIA,39,63.8654
BEICA,ETHIOPIA,173,82.3103
BEIHAN,YEMEN,39,74.3333
BEISEKER,CANADA,39,74.0068
"BEJA AB",PORTUGAL,39,69.0476
BEKILY,MADAGASCAR,53,76.8857
"BELEM DE SAO FRANCISCO",BRAZIL,39,75.7333
"BELFAST CITY","UNITED KINGDOM",39,83.8865
BELGOROD,RUSSIA,172,74.4237
BELGRADE,YUGOSLAVIA,161,98.0000
"BELLA BELLA (DENNY I)",CANADA,41,74.0068
"BELLA COOLA",CANADA,26,74.0068
"BELLE FOURCHE MUN","UNITED STATES",108,76.4391
"BELLE PLAINE MUN","UNITED STATES",40,76.4391
BELLEAU,FRANCE,67,76.2206
"BELLINGHAM INTL","UNITED STATES",40,76.4391
BELLUNO,ITALY,79,76.5375
BELMONT,FRANCE,14,76.2206
BELMONTE,BRAZIL,39,75.7333
"BELO JARDIM",BRAZIL,145,75.7333
BELTERRA,BRAZIL,134,75.7333
BELUGA,"UNITED STATES",94,76.4391
"BEMIDJI-BELTRAMI CO","UNITED STATES",41,76.4391
"BEN GURION",ISRAEL,80,101.5000
"BENEDITO LEITE",BRAZIL,93,75.7333
BENESOV,CZECH,118,79.4242
"BENI MELLAL",MOROCCO,41,65.8000
BENI,CONGO,41,81.3408
BENI-DIBELE,CONGO,67,81.3408
BENINA,LIBYA,54,82.3000
"BENITO SALAS",COLOMBIA,40,88.6667
"BENNETT MEML","UNITED STATES",81,76.4391
BENO,CONGO,26,81.3408
"BENTONVILLE MUN/ THADEN","UNITED STATES",67,76.4391
BERBERA,SOMALIA,40,76.2500
BERBERATI,"CENTRAL AFRICAN REP",80,104.2222
BERLEVAG,NORWAY,108,77.7021
"BERMUDA INTL",BERMUDA,279,279.0000
BERTOUA,CAMEROON,26,86.2000
BERZ-MACOMB,"UNITED STATES",93,76.4391
BESALAMPY,MADAGASCAR,26,76.8857
BESLAN,RUSSIA,67,74.4237
BESOVETS,RUSSIA,66,74.4237
BESSEMER,"UNITED STATES",106,76.4391
BETARE-OYA,CAMEROON,120,86.2000
BETHANY,CANADA,26,74.0068
BETHEL,"UNITED STATES",79,76.4391
BETHLEHEM,"SOUTH AFRICAN REP",160,80.1429
BETOU,CONGO,118,81.3408
BEVERLO,BELGIUM,94,83.4762
"BEVERLY MUN","UNITED STATES",53,76.4391
BEX,SWITZERLAND,66,83.4762
BHARATPUR,NEPAL,53,54.7647
BHAVNAGAR,INDIA,80,63.8654
BHOJPUR,NEPAL,93,54.7647
BHUBANESHWAR,INDIA,53,63.8654
"BIALA PODLASKA",POLAND,54,80.0476
BIARD,FRANCE,67,76.2206
BIBANGA,CONGO,174,81.3408
"BIBERACH AN DER RISS",GERMANY,107,76.3204
BIENENFARM,GERMANY,120,76.3204
"BIG PINEY-MARBLETON","UNITED STATES",66,76.4391
