name,city,country,qty_flights,qty_airlines
BACOLOD,BACOLOD,PHILIPPINES,132,3
"BACON CO",ALMA,"UNITED STATES",93,2
"BAD FRANKENHAUSEN","BAD FRANKENHAUSEN",GERMANY,93,1
"BAD SASSENDORF",SOEST,GERMANY,104,3
BAGAN,BAGAN,MYANMAR,79,1
BAGLUNG,BAGLUNG,NEPAL,93,3
BAGOTVILLE,BAGOTVILLE,CANADA,93,2
"BAILLEAU ARMENONVILLE","BAILLEAU ARMENONVILLE",FRANCE,161,3
"BAIXO GUANDU","BAIXO GUANDU",BRAZIL,92,3
"BAKER LAKE","BAKER LAKE",CANADA,212,4
"BAKER MEML",KIANA,"UNITED STATES",120,2
BALANDINO,CHELYABINSK,RUSSIA,172,4
"BALDWIN CO",MILLEDGEVILLE,"UNITED STATES",185,3
"BALICE JP II INTL",KRAKOW,POLAND,94,2
"BALIKESIR AB",BALIKESIR,TURKEY,79,2
BALSAS,BALSAS,BRAZIL,147,3
BAMYAN,BAMYAN,AFGHANISTAN,146,2
"BANDAR ABBASS INTL","BANDAR ABBASS",IRAN,94,2
"BANDAR LENGEH","BANDAR LENGEH",IRAN,118,2
BANDIAGARA,BANDIAGARA,MALI,105,2
BANEASA,BUCHAREST,ROMANIA,173,3
BANFORA,BANFORA,"BURKINA FASO",147,3
"BANGKOK INTL",BANGKOK,THAILAND,186,3
"BANGOKA INTL",KISANGANI,CONGO,173,3
BANGULA,BANGULA,MALAWI,119,2
BANKSTOWN,SYDNEY,AUSTRALIA,80,1
"BANNING MUN",BANNING,"UNITED STATES",80,2
BANYO,BANYO,CAMEROON,132,3
BARIRI,BARIRI,BRAZIL,80,2
BARKARBY,STOCKHOLM,SWEDEN,105,2
"BARKLEY REGL",PADUCAH,"UNITED STATES",80,1
"BARRA DO CORDA","BARRA DO CORDA",BRAZIL,92,2
BARREIRAS,BARREIRAS,BRAZIL,146,3
BARSTOW-DAGGETT,DAGGETT,"UNITED STATES",108,2
BAR-SUR-SEINE,BAR-SUR-SEINE,FRANCE,213,4
"BARTER I LRRS","BARTER I LRRS","UNITED STATES",160,3
BARTH,BARTH,GERMANY,93,2
"BARTOLOMEU LISANDRO","CAMPOS DOS GOITACAZES",BRAZIL,106,2
BARTON,MANCHESTER,"UNITED KINGDOM",93,2
"BASE AEREA DE SANTOS",GUARUJA,BRAZIL,79,2
"BASSEL AL-ASSAD INTL",LATAKIA,SYRIA,200,4
BATA,BATA,"EQUATORIAL GUINEA",93,2
"BATESVILLE REGL",BATESVILLE,"UNITED STATES",93,1
BATHURST,BATHURST,CANADA,106,2
BATOURI,BATOURI,CAMEROON,132,3
BAU,BAU,CONGO,106,2
BAUTZEN,BAUTZEN,GERMANY,119,2
"BAXTER CO REGL","MOUNTAIN HOME","UNITED STATES",107,2
BAYONNE-ANGLET,BIARRITZ,FRANCE,79,1
BAYREUTH,BAYREUTH,GERMANY,134,2
BAYTOWN,BAYTOWN,"UNITED STATES",80,1
BEACH,CHARLOTTE,"UNITED STATES",120,2
BEATTY,BEATTY,"UNITED STATES",80,2
"BEAUVECHAIN AB",BEAUVECHAIN,BELGIUM,108,3
"BEAVER CO","BEAVER FALLS","UNITED STATES",94,2
"BEAVER CREEK","BEAVER CREEK",CANADA,106,2
BEAVERLEY,BEAVERLEY,CANADA,106,2
BEBEDOURO,BEBEDOURO,BRAZIL,105,2
"BEDA M3","BEDA M3",LIBYA,93,1
"BEDFORD CO",BEDFORD,"UNITED STATES",132,3
"BEECH FACTORY",WICHITA,"UNITED STATES",79,2
BEICA,BEICA,ETHIOPIA,173,2
BELGOROD,BELGOROD,RUSSIA,172,3
BELGRADE,BELGRADE,YUGOSLAVIA,161,3
"BELLE FOURCHE MUN","BELLE FOURCHE","UNITED STATES",108,2
BELLUNO,BELLUNO,ITALY,79,2
"BELO JARDIM","BELO JARDIM",BRAZIL,145,2
BELTERRA,BELTERRA,BRAZIL,134,3
BELUGA,BELUGA,"UNITED STATES",94,2
"BEN GURION","TEL AVIV",ISRAEL,80,2
"BENEDITO LEITE","BENEDITO LEITE",BRAZIL,93,2
BENESOV,BENESOV,CZECH,118,2
"BENNETT MEML","GLENS FALLS","UNITED STATES",81,2
BERBERATI,BERBERATI,"CENTRAL AFRICAN REP",80,3
BERLEVAG,BERLEVAG,NORWAY,108,2
"BERMUDA INTL","BERMUDA IS",BERMUDA,279,6
BERZ-MACOMB,DETROIT,"UNITED STATES",93,1
BESSEMER,BESSEMER,"UNITED STATES",106,2
BETARE-OYA,BETARE-OYA,CAMEROON,120,2
BETHEL,BETHEL,"UNITED STATES",79,3
BETHLEHEM,BETHLEHEM,"SOUTH AFRICAN REP",160,2
BETOU,BETOU,CONGO,118,2
BEVERLO,LEOPOLDSBURG,BELGIUM,94,2
BHAVNAGAR,BHAVNAGAR,INDIA,80,1
BHOJPUR,BHOJPUR,NEPAL,93,2
BIBANGA,BIBANGA,CONGO,174,3
"BIBERACH AN DER RISS","BIBERACH AN DER RISS",GERMANY,107,2
BIENENFARM,BIENENFARM,GERMANY,120,2
"BIG TROUT LAKE","BIG TROUT LAKE",CANADA,79,2
BILLUND,BILLUND,DENMARK,106,2
BILTINE,BILTINE,CHAD,119,2
BINGA,BINGA,CONGO,107,2
BIRCHWOOD,BIRCHWOOD,"UNITED STATES",120,3
"BIRGI MIL",TRAPANI,ITALY,239,4
BIRJAND,BIRJAND,IRAN,94,3
"BIRMINGHAM INTL",BIRMINGHAM,"UNITED STATES",106,3
BIRRFELD,BIRRFELD,SWITZERLAND,94,2
"BIRSA MUNDA",RANCHI,INDIA,160,2
BISHO,BISHO,"SOUTH AFRICAN REP",133,3
BISHOP,BISHOP,"UNITED STATES",107,2
BLACKBUSHE,BLACKBUSHE,"UNITED KINGDOM",160,3
BLANKENSEE,LUBECK,GERMANY,107,2
BLOMBERG-BORKHAUSEN,BLOMBERG-BORKHAUSEN,GERMANY,227,4
BLONDUOS,BLONDUOS,ICELAND,147,2
"BLOODVEIN RIVER","BLOODVEIN RIVER",CANADA,199,3
"BLUE RIDGE",MARTINSVILLE,"UNITED STATES",147,3
BLYTHE,BLYTHE,"UNITED STATES",160,3
BODMIN,BODMIN,"UNITED KINGDOM",133,2
"BOGUE MCALF",SWANSBORO,"UNITED STATES",93,2
BOHLEN,BOHLEN,GERMANY,92,2
BOKORO,BOKORO,CHAD,160,4
BOKUNGU,BOKUNGU,CONGO,93,2
BOLILA,BOLILA,CONGO,186,3
BOLIVAR,KAVANAYEN,VENEZUELA,147,3
BOLONGONKELE,BOLONGONKELE,CONGO,133,3
"BOMAR-SHELBYVILLE MUN",SHELBYVILLE,"UNITED STATES",94,2
BONAVENTURE,BONAVENTURE,CANADA,120,2
BONKITA,BONKITA,CONGO,106,2
BONTHE,BONTHE,"SIERRA LEONE",147,3
"BOONE CO",HARRISON,"UNITED STATES",93,1
"BOONE MUN",BOONE,"UNITED STATES",118,2
BORDELUM,BORDELUM,GERMANY,79,2
"BORG EL ARAB INTL",ALEXANDRIA,EGYPT,279,7
"BORGO PANIGALE",BOLOGNA,ITALY,106,2
BOSONDJO,BOSONDJO,CONGO,93,2
BOSSANGOA,BOSSANGOA,"CENTRAL AFRICAN REP",92,2
BOST,BOST,AFGHANISTAN,107,1
BOUAKE,BOUAKE,"IVORY COAST",81,2
BOURN,BOURN,"UNITED KINGDOM",200,3
BOURNEMOUTH,BOURNEMOUTH,"UNITED KINGDOM",80,2
BOWERMAN,HOQUIAM,"UNITED STATES",157,3
"BRAC ISLAND",BRAC,CROATIA,119,3
"BRADLEY INTL","WINDSOR LOCKS","UNITED STATES",133,3
BRASILEIA,BRASILEIA,BRAZIL,108,2
BRATSK,BRATSK,RUSSIA,106,2
BRECLAV,BRECLAV,CZECH,79,3
BRENNER,"FALLS CITY","UNITED STATES",106,2
BREST,BREST,BELARUS,106,2
BRIA,BRIA,"CENTRAL AFRICAN REP",119,3
BRIE-CHAMPNIERS,ANGOULEME,FRANCE,147,3
"BRIG GEN D BARTOLOME DE LA CO*","MAR DEL PLATA",ARGENTINA,120,3
"BRIGHAM CITY","BRIGHAM CITY","UNITED STATES",198,4
BRINDAS,LYON,FRANCE,133,2
BRITS,BRITS,"SOUTH AFRICAN REP",93,2
"BRIZE NORTON AB","BRIZE NORTON","UNITED KINGDOM",79,2
BROADUS,BROADUS,"UNITED STATES",146,3
"BROCKVILLE-THOUSAND ISL REG",BROCKVILLE,CANADA,93,2
"BROKEN BOW MUN","BROKEN BOW","UNITED STATES",133,2
BRON,LYON,FRANCE,133,3
BRONNOY,BRONNOYSUND,NORWAY,145,2
BROOKERIDGE,"DOWNERS GROVE","UNITED STATES",79,2
BROOKHAVEN,SHIRLEY,"UNITED STATES",172,3
"BROOKINGS MUN",BROOKINGS,"UNITED STATES",106,2
BROOKS,BROOKS,CANADA,174,4
BROOKS,MARSHALL,"UNITED STATES",119,2
"BROOME INTL",BROOME,AUSTRALIA,81,2
BROUGH,BROUGH,"UNITED KINGDOM",158,4
BROUMOV,BROUMOV,CZECH,107,3
BRYANSK,BRYANSK,RUSSIA,147,3
"BRYCE CANYON","BRYCE CANYON","UNITED STATES",79,2
BUCKLAND,BUCKLAND,"UNITED STATES",94,2
BUENAVENTURA,BUENAVENTURA,COLOMBIA,106,2
BUHLHOF,INGELFINGEN,GERMANY,174,4
"BULAGTAI RESORT","BULAGTAI RESORT",MONGOLIA,93,2
BUMBA,BUMBA,CONGO,81,2
BUNGOMA,BUNGOMA,KENYA,160,3
"BUNO BONNEVAUX","BUNO BONNEVAUX",FRANCE,120,2
BUONMATHUOT,BUONMATHUOT,VIETNAM,80,1
"BURA EAST","BURA EAST",KENYA,147,3
BURAO,BURAO,SOMALIA,132,3
"BURITI ALEGRE","BURITI ALEGRE",BRAZIL,94,2
"BURKE LAKEFRONT",CLEVELAND,"UNITED STATES",93,2
"BURNS MUN",BURNS,"UNITED STATES",94,2
BURWASH,BURWASH,CANADA,95,2
BUSALA,BUSALA,CONGO,79,1
BUSEVEC,"VELIKA GORICA",CROATIA,119,2
BUSHEHR,BUSHEHR,IRAN,78,2
BUSSELTON,BUSSELTON,AUSTRALIA,105,2
BUTARE,BUTARE,RWANDA,280,7
"BUTLER CO/ SCHOLTER",BUTLER,"UNITED STATES",106,2
"BUTTS AAF","FT CARSON","UNITED STATES",106,2
BUYANT-UKHAA,ULAANBAATAR,MONGOLIA,133,3
CABINDA,CABINDA,ANGOLA,133,3
"CABO FRIO","CABO FRIO",BRAZIL,79,2
"CABO ROJO",PEDERNALES,"DOMINICAN REPUBLIC",133,3
CACADOR,CACADOR,BRAZIL,214,4
CACOAL,CACOAL,BRAZIL,93,2
CADOTTE,CADOTTE,CANADA,93,2
CAERNARFON,CAERNARFON,"UNITED KINGDOM",107,2
"CAIRNS AAF","FT RUCKER","UNITED STATES",79,2
CAKOVEC,CAKOVEC,CROATIA,106,2
CAKUNG,BAUCAU,INDONESIA,106,2
CALDEN,KASSEL,GERMANY,159,4
"CALEXICO INTL",CALEXICO,"UNITED STATES",93,2
"CALLAWAY GARDENS-HARRIS CO","PINE MOUNTAIN","UNITED STATES",94,2
CAMANA,CAMANA,PERU,106,2
"CAMBRIDGE MUN",CAMBRIDGE,"UNITED STATES",80,1
CAMIRI,CAMIRI,BOLIVIA,80,2
CAMOCIM,CAMOCIM,BRAZIL,134,3
"CAMPBELL CO",JACKSBORO,"UNITED STATES",107,2
"CAMPBELL RIVER","CAMPBELL RIVER",CANADA,107,2
"CAMPBELL-CORSICANA MUN",CORSICANA,"UNITED STATES",93,2
"CAMPINA VERDE","CAMPINA VERDE",BRAZIL,94,2
"CAMPO FONTENELLE",PIRACUNUNGA,BRAZIL,92,3
"CAMPO GRANDE INTL","CAMPO GRANDE",BRAZIL,146,3
"CAMPOS BELOS","CAMPOS BELOS",BRAZIL,80,1
"CANAL BAJO/ CARLOS H SIEBERT",OSORNO,CHILE,80,1
CANDILLARGUES,MONTPELLIER,FRANCE,81,2
CANGAPARA,FLORIANO,BRAZIL,121,3
"CANNON AFB",CLOVIS,"UNITED STATES",92,2
CANTUNG,TUNGSTEN,CANADA,79,2
"CAP DE AV SELIN ZEITUN LOPEZ",RIBERALTA,BOLIVIA,146,2
"CAPAO DA CANOA","CAPAO DA CANOA",BRAZIL,93,1
"CAPE GIRARDEAU REGL","CAPE GIRARDEAU","UNITED STATES",79,1
"CAPE LISBURNE LRRS","CAPE LISBURNE","UNITED STATES",133,3
"CAPE MAY CO",WILDWOOD,"UNITED STATES",173,3
"CAPE PALMAS",HARPER,LIBERIA,133,3
"CAPE TOWN INTL","CAPE TOWN","SOUTH AFRICAN REP",133,2
"CAPITAL CITY",FRANKFORT,"UNITED STATES",147,3
"CAPITAN ALVARINO","SAN RAMON",PERU,120,2
"CAPITAN FUENTES MARTINEZ",PORVENIR,CHILE,93,1
"CAPITAN V. ALMANDOS ALMONACID","LA RIOJA",ARGENTINA,132,3
"CAPUA MIL",CAPUA,ITALY,106,2
CARAUARI,CARAUARI,BRAZIL,79,2
"CARBON CO",PRICE,"UNITED STATES",133,3
"CARDAK AB",DENIZLI,TURKEY,94,2
CARIRI,"JUAZEIRO DO NORTE",BRAZIL,80,1
"CARLOS M. CESPEDES",BAYAMO,CUBA,94,2
CARMACKS,CARMACKS,CANADA,212,4
"CARMELO INTL",CARMELO,URUGUAY,92,2
CAROLINA,CAROLINA,BRAZIL,93,2
CARPIQUET,CAEN,FRANCE,133,3
"CARROLL CO REGL/ POAGE",WESTMINSTER,"UNITED STATES",80,2
"CARROLL CO-TOLSON",CARROLLTON,"UNITED STATES",133,3
"CASA GRANDE MUN","CASA GRANDE","UNITED STATES",132,3
"CASALE MIL",BRINDISI,ITALY,92,2
CASCAVEL,CASCAVEL,BRAZIL,105,3
"CASEMENT AB",BALDONNEL,IRELAND,172,3
"CASTELLON DE LA PLANA","CASTELLON DE LA PLANA",SPAIN,107,3
CASTOR,CASTOR,CANADA,186,4
"CAT LAKE","CAT LAKE",CANADA,118,2
CATAMARCA,CATAMARCA,ARGENTINA,80,2
CATARMAN,CATARMAN,PHILIPPINES,187,3
"CAYLEY/ A. J. FLYING RANCH",CAYLEY,CANADA,80,2
"CEDAR RIDGE",GRIFFIN,"UNITED STATES",79,2
CENTENNIAL,DENVER,"UNITED STATES",119,2
"CENTRAL NEBRASKA REGL","GRAND ISLAND","UNITED STATES",92,2
CERES,CERES,ARGENTINA,80,2
CHACHAPOYAS,CHACHAPOYAS,PERU,93,3
"CHAIN MUN",HATTIESBURG,"UNITED STATES",80,2
CHAITEN,"TIC TOC",CHILE,80,1
"CHAKE CHAKE",PEMBA,TANZANIA,106,2
CHAMICAL,"GOBERNADOR GORDILLO",ARGENTINA,120,2
CHAMONATE,COPIAPO,CHILE,93,2
"CHANDLER MUN",CHANDLER,"UNITED STATES",94,2
CHAPECO,CHAPECO,BRAZIL,121,3
CHAPLEAU,CHAPLEAU,CANADA,107,2
"CHAPMAN LAKE","CHAPMAN LAKE",CANADA,119,3
CHARLES-DE-GAULLE,PARIS,FRANCE,211,3
CHARLOTTETOWN,CHARLOTTETOWN,CANADA,107,2
CHARLOTTETOWN,CHARLOTTETOWN,CANADA,108,3
"CHATEAUBERNARD AB",COGNAC,FRANCE,120,3
"CHATEAUNEUF SUR CHER","CHATEAUNEUF SUR CHER",FRANCE,92,2
CHAUVIGNY,CHAUVIGNY,FRANCE,94,2
CHEBOKSARY,CHEBOKSARY,RUSSIA,187,3
CHEFORNAK,CHEFORNAK,"UNITED STATES",78,2
"CHENNAULT INTL","LAKE CHARLES","UNITED STATES",106,2
"CHEONGJU INTL",CHEONGJU,KOREA,80,1
CHERKASY,CHERKASY,UKRAINE,132,2
CHERNIVTSI,CHERNIVTSI,UKRAINE,146,2
"CHERRY CAPITAL","TRAVERSE CITY","UNITED STATES",94,2
"CHERRY POINT MCAS","CHERRY POINT","UNITED STATES",107,2
"CHESAPEAKE REGL",NORFOLK,"UNITED STATES",93,2
CHETWYND,CHETWYND,CANADA,80,1
CHEYENNE,CHEYENNE,"UNITED STATES",172,3
"CHICAGO-O'HARE INTL",CHICAGO,"UNITED STATES",81,2
CHILECITO,CHILECITO,ARGENTINA,174,3
CHIMBORAZO,RIOBAMBA,ECUADOR,79,2
CHINGOZI,TETE,MOZAMBIQUE,105,3
CHINHOYI,CHINHOYI,ZIMBABWE,121,2
"CHIPPEWA VALLEY REGL","EAU CLAIRE","UNITED STATES",133,3
CHITIPA,CHITIPA,MALAWI,118,2
CHITOSE,SAPPORO,JAPAN,106,2
CHOFU,CHOFU,JAPAN,94,2
CHOMA,CHOMA,ZAMBIA,92,2
CHOTEAU,CHOTEAU,"UNITED STATES",80,1
CHOTEBOR,CHOTEBOR,CZECH,93,2
CHUNYA,CHUNYA,TANZANIA,131,3
CHURCH,CRESCO,"UNITED STATES",106,2
"CIGAR LAKE","CIGAR LAKE",CANADA,106,2
"CIGLI AB",IZMIR,TURKEY,93,2
CILIPI,DUBROVNIK,CROATIA,92,2
CIMITARRA,CIMITARRA,COLOMBIA,106,2
"CINCINNATI MUN-LUNKEN",CINCINNATI,"UNITED STATES",92,2
"CITY OF COLORADO SPRINGS MUN","COLORADO SPRINGS","UNITED STATES",93,2
CLACTON,CLACTON,"UNITED KINGDOM",81,2
CLARENVILLE,CLARENVILLE,CANADA,120,2
"CLARESHOLM INDUSTRIAL",CLARESHOLM,CANADA,106,2
"CLARK INTL","ANGELES CITY",PHILIPPINES,80,1
"CLARK MUN",STEPHENVILLE,"UNITED STATES",107,2
CLEAR,CLEAR,"UNITED STATES",148,3
CLEARFIELD-LAWRENCE,CLEARFIELD,"UNITED STATES",185,3
"CLINTON CO",PLATTSBURGH,"UNITED STATES",133,2
"CLINTON MEML",CLINTON,"UNITED STATES",106,2
"CLINTONVILLE MUN",CLINTONVILLE,"UNITED STATES",133,2
"CLOVIS MUN",CLOVIS,"UNITED STATES",79,2
"CLUB MAKOKOLA","CLUB MAKOKOLA",MALAWI,120,2
COBAN,COBAN,GUATEMALA,160,2
"COCKBURN TOWN","SAN SALVADOR I",BAHAMAS,159,3
"COELHO NETO","COELHO NETO",BRAZIL,185,3
"COFFEYVILLE MUN",COFFEYVILLE,"UNITED STATES",107,2
"COFFIELD REGL",ROCKDALE,"UNITED STATES",106,2
"COL ALFREDO MENDIVIL DUARTE",AYACUCHO,PERU,106,2
"COLD BAY","COLD BAY","UNITED STATES",95,3
"COLD LAKE REGL","COLD LAKE",CANADA,92,2
"COLEMAN AAF",MANNHEIM,GERMANY,188,4
COLERNE,COLERNE,"UNITED KINGDOM",120,3
COLLARENEBRI,COLLARENEBRI,AUSTRALIA,106,2
"COLLEGE PARK","COLLEGE PARK","UNITED STATES",93,2
"COLONIA ANGAMOS","COLONIA ANGAMOS",PERU,80,1
"COLORADO CITY MUN","COLORADO CITY","UNITED STATES",133,4
COLTINES,"ST FLOUR",FRANCE,279,5
"COLUMBUS MUN",COLUMBUS,"UNITED STATES",107,2
"COLUMBUS MUN",COLUMBUS,"UNITED STATES",147,3
COMBOLCHA,DESSIE,ETHIOPIA,79,1
"COMITAN (COPALAR)",COMITAN,MEXICO,145,3
"COMPTON/ WOODLEY",COMPTON,"UNITED STATES",106,2
"CONCEICAO DO ARAGUAIA","CONCEICAO DO ARAGUAIA",BRAZIL,106,3
"CONCEICAO DO MATO DENTRO","CONCEICAO DO MATO DENTRO",BRAZIL,79,1
"CONCORD REGL",CONCORD,"UNITED STATES",79,2
CONNAUGHT,CONNAUGHT,IRELAND,147,2
CONNELLSVILLE,CONNELLSVILLE,"UNITED STATES",108,2
CONSTANZA,CONSTANZA,"DOMINICAN REPUBLIC",147,3
